street,original,house_number,postal_code,city,full_address,wbz,bezirk,kandidat,farbe,wahlberechtigte,latitude,longitude
Kleinhöhe,Kleinhöhe,,51588,Nümbrecht,"Kleinhöhe, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.9068435,7.4881313
Kurtenbach,Kurtenbach,,51588,Nümbrecht,"Kurtenbach, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.8946683,7.47754
Linde,Linde,,51588,Nümbrecht,"Linde, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.9192286,7.4983086
Marienberghausen,Marienberghausen,,51588,Nümbrecht,"Marienberghausen, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.9197062,7.4950856
Neuenberg,Neuenberg,,51588,Nümbrecht,"Neuenberg, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.9109755,7.4851396
Niederbreidenbach,Niederbreidenbach,,51588,Nümbrecht,"Niederbreidenbach, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.8852959,7.4844408
Nöchel,Nöchel,,51588,Nümbrecht,"Nöchel, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.9063842,7.4798246
Riechenbach,Riechenbach,,51588,Nümbrecht,"Riechenbach, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.9024653,7.4889919
Röttgen,Röttgen,,51588,Nümbrecht,"Röttgen, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.8802637,7.4632568
Rose,Rose,,51588,Nümbrecht,"Rose, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.8926676,7.4819431
Schönthal,Schönthal,,51588,Nümbrecht,"Schönthal, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.9033742,7.4832795
Stranzenbach,Stranzenbach,,51588,Nümbrecht,"Stranzenbach, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.8777391,7.4788611
Vorholz,Vorholz,,51588,Nümbrecht,"Vorholz, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.9041038,7.4928999
Wolfscharre,Wolfscharre,,51588,Nümbrecht,"Wolfscharre, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,#A8E6CF,842,50.8984949,7.4848044
Elsenroth,Elsenroth,,51588,Nümbrecht,"Elsenroth, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9312265,7.5264902
Gerhardsiefen,Gerhardsiefen,,51588,Nümbrecht,"Gerhardsiefen, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9243001,7.5169846
Hillenbach,Hillenbach,,51588,Nümbrecht,"Hillenbach, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9179085,7.5154824
Homburger Papiermühle,Homburger Papiermühle,,51588,Nümbrecht,"Homburger Papiermühle, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9162998,7.5131716
Krahm,Krahm,,51588,Nümbrecht,"Krahm, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9375515,7.493805
Löhe,Löhe,,51588,Nümbrecht,"Löhe, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9304513,7.5055723
Mühlenthal,Mühlenthal,,51588,Nümbrecht,"Mühlenthal, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9257057,7.4896373
Nallingen,Nallingen,,51588,Nümbrecht,"Nallingen, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9349495,7.5009702
Niederstaffelbach,Niederstaffelbach,,51588,Nümbrecht,"Niederstaffelbach, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9236349,7.4834362
Oberbech,Oberbech,,51588,Nümbrecht,"Oberbech, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9264093,7.4710487
Oberstaffelbach,Oberstaffelbach,,51588,Nümbrecht,"Oberstaffelbach, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9293726,7.4843771
Stockheim,Stockheim,,51588,Nümbrecht,"Stockheim, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9296187,7.543732
Überdorf,Überdorf,,51588,Nümbrecht,"Überdorf, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9327799,7.4892643
Windhausen,Windhausen,,51588,Nümbrecht,"Windhausen, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,#FF8B94,921,50.9274214,7.5063283
