street,original,house_number,postal_code,city,full_address,wbz,bezirk,kandidat,farbe,wahlberechtigte,latitude,longitude,kreistagkandidat
Bühlweg,Bühlweg,,51588,Nümbrecht,"Bühlweg, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Gierzhagener Straße,Gierzhagener Straße,,51588,Nümbrecht,"Gierzhagener Straße, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Grünweg,Grünweg,,51588,Nümbrecht,"Grünweg, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Handweg,Handweg,,51588,Nümbrecht,"Handweg, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Herrenwiese,Herrenwiese,,51588,Nümbrecht,"Herrenwiese, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Im Kreuzfeld,Im Kreuzfeld,,51588,Nümbrecht,"Im Kreuzfeld, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Mühlenstraße,Mühlenstraße,,51588,Nümbrecht,"Mühlenstraße, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Ortsweg,Ortsweg,,51588,Nümbrecht,"Ortsweg, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Pfarrweg,Pfarrweg,,51588,Nümbrecht,"Pfarrweg, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.9033978,7.5409481,Marcus Schmitz
Ringstraße,Ringstraße,,51588,Nümbrecht,"Ringstraße, 51588 Nümbrecht",WBZ 70,WBZ 70 - Bierenbachtal Ost,Thomas Hellbusch,#A8E6CF,932,50.8652311,7.5475833,Marcus Schmitz
Zur Delle,Zur Delle - Hausnummern 1-17,,51588,Nümbrecht,"Zur Delle, 51588 Nümbrecht",WBZ 110,WBZ 110 - Grötzenberg,Björn Dittich,#E8B4B8,900,50.9033978,7.5409481,Marcus Schmitz
Benroth/Berkenroth (Ortszentrum),Benroth/Berkenroth,,51588,Nümbrecht,"Benroth/Berkenroth, 51588 Nümbrecht",WBZ 130,WBZ 130 - Benroth/Berkenroth,Stephan Rühl,,912,50.9033978,7.5409481,Thomas Schlegel
Marienberghausen (Ortszentrum),Marienberghausen,,51588,Nümbrecht,"Marienberghausen, 51588 Nümbrecht",WBZ 150,WBZ 150 - Marienberghausen,Frank Schmitz,,931,50.87,7.53,Thomas Schlegel
Oberbreidenbach/Prombach (Ortszentrum),Oberbreidenbach/Prombach,,51588,Nümbrecht,"Oberbreidenbach/Prombach, 51588 Nümbrecht",WBZ 90,WBZ 90 - Oberbreidenbach/Prombach,Manfred Henry Daub,,859,50.9033978,7.5409481,Marcus Schmitz
Winterborn (Ortszentrum),Winterborn,,51588,Nümbrecht,"Winterborn, 51588 Nümbrecht",WBZ 100,WBZ 100 - Winterborn,Christopher Seinsche,,906,50.918,7.595,Marcus Schmitz
Hömel (Ortszentrum),Hömel,,51588,Nümbrecht,"Hömel, 51588 Nümbrecht",WBZ 120,WBZ 120 - Hömel,Titzian Crisci,,872,50.915,7.565,Thomas Schlegel
Elsenroth (Ortszentrum),Elsenroth,,51588,Nümbrecht,"Elsenroth, 51588 Nümbrecht",WBZ 160,WBZ 160 - Elsenroth,Thomas Schlegel,,946,50.86,7.54,Thomas Schlegel
Harscheid (Ortszentrum),Harscheid,,51588,Nümbrecht,"Harscheid, 51588 Nümbrecht",WBZ 140,WBZ 140 - Harscheid,Roger Adolphs,,940,50.885,7.545,Thomas Schlegel
Gaderoth/Breunfeld (Ortszentrum),Gaderoth/Breunfeld,,51588,Nümbrecht,"Gaderoth/Breunfeld, 51588 Nümbrecht",WBZ 80,WBZ 80 - Gaderoth/Breunfeld,Philipp Beck,,849,50.9033978,7.5409481,Marcus Schmitz
