street,original,house_number,postal_code,city,full_address,wbz,bezirk,kandidat,farbe,wahlberechtigte,latitude,longitude,kreistagkandidat
Goldnesselweg,Goldnesselweg,,51588,Nümbrecht,"Goldnesselweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9023403,7.5323643,Marcus Schmitz
Hauptstraße,Hauptstraße,,51588,Nümbrecht,"Hauptstraße, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9020173,7.5409326,Marcus Schmitz
Heckenrosenweg,Heckenrosenweg,,51588,Nümbrecht,"Heckenrosenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9022486,7.5369569,Marcus Schmitz
Kirchweg,Kirchweg,,51588,Nümbrecht,"Kirchweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9087664,7.5367495,Marcus Schmitz
Kornblumenweg,Kornblumenweg,,51588,Nümbrecht,"Kornblumenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9027287,7.5363904,Marcus Schmitz
Lilienweg,Lilienweg,,51588,Nümbrecht,"Lilienweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9023145,7.5376838,Marcus Schmitz
Lupinenweg,Lupinenweg,,51588,Nümbrecht,"Lupinenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.8996112,7.5347881,Marcus Schmitz
Maiglöckchenweg,Maiglöckchenweg,,51588,Nümbrecht,"Maiglöckchenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.902156,7.532058,Marcus Schmitz
Margeritenweg,Margeritenweg,,51588,Nümbrecht,"Margeritenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9018758,7.5329861,Marcus Schmitz
Mateh,Mateh-Yehuda-Straße,,51588,Nümbrecht,"Mateh, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9041152,7.5360799,Marcus Schmitz
Mohnweg,Mohnweg,,51588,Nümbrecht,"Mohnweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9019175,7.5351828,Marcus Schmitz
Narzissenweg,Narzissenweg,,51588,Nümbrecht,"Narzissenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.8994564,7.5361382,Marcus Schmitz
Orchideenweg,Orchideenweg,,51588,Nümbrecht,"Orchideenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.8997293,7.5369443,Marcus Schmitz
Rotkleeweg,Rotkleeweg,,51588,Nümbrecht,"Rotkleeweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9029227,7.5335673,Marcus Schmitz
Sängertsweg,Sängertsweg,,51588,Nümbrecht,"Sängertsweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9030308,7.5300913,Marcus Schmitz
Schlüsselblumenweg,Schlüsselblumenweg,,51588,Nümbrecht,"Schlüsselblumenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9011471,7.5368298,Marcus Schmitz
Schmiedeweg,Schmiedeweg,,51588,Nümbrecht,"Schmiedeweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9006075,7.5386394,Marcus Schmitz
Schulbergweg,Schulbergweg,,51588,Nümbrecht,"Schulbergweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9033978,7.5409481,Marcus Schmitz
Thymianweg,Thymianweg,,51588,Nümbrecht,"Thymianweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9010308,7.5350121,Marcus Schmitz
Veilchenweg,Veilchenweg,,51588,Nümbrecht,"Veilchenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9025612,7.5327291,Marcus Schmitz
Waldfrieden,Waldfrieden,,51588,Nümbrecht,"Waldfrieden, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9033978,7.5409481,Marcus Schmitz
Wiesenstraße,Wiesenstraße,,51588,Nümbrecht,"Wiesenstraße, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9057286,7.537209,Marcus Schmitz
Wildrosenweg,Wildrosenweg,,51588,Nümbrecht,"Wildrosenweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.8992156,7.5337845,Marcus Schmitz
Zur alten Schmiede,Zur alten Schmiede,,51588,Nümbrecht,"Zur alten Schmiede, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9033978,7.5409481,Marcus Schmitz
alle Straßen von Spreitgen,alle Straßen von Spreitgen,,51588,Nümbrecht,"alle Straßen von Spreitgen, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9033978,7.5409481,Marcus Schmitz
Amselweg,Amselweg,,51588,Nümbrecht,"Amselweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.8974904,7.5423655,Thomas Schlegel
Bitzenweg,Bitzenweg,,51588,Nümbrecht,"Bitzenweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.9002009,7.5421976,Thomas Schlegel
Bornenweg,Bornenweg,,51588,Nümbrecht,"Bornenweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.9017034,7.5447469,Thomas Schlegel
Finkenweg,Finkenweg,,51588,Nümbrecht,"Finkenweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.9000897,7.5417516,Thomas Schlegel
Göpelweg,Göpelweg,,51588,Nümbrecht,"Göpelweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.9033978,7.5409481,Thomas Schlegel
Holunderweg,Holunderweg,,51588,Nümbrecht,"Holunderweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.8982713,7.5333604,Thomas Schlegel
Höhenstraße,Höhenstraße,,51588,Nümbrecht,"Höhenstraße, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.910077,7.5451492,Thomas Schlegel
Jakob,Jakob-Engels-Straße,,51588,Nümbrecht,"Jakob, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.9011411,7.5437799,Thomas Schlegel
Meta,Meta-Herz-Straße,,51588,Nümbrecht,"Meta, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.9032281,7.542596,Thomas Schlegel
Nachtigallenweg,Nachtigallenweg,,51588,Nümbrecht,"Nachtigallenweg, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.8990181,7.5421419,Thomas Schlegel
Oberdorf,Oberdorf,,51588,Nümbrecht,"Oberdorf, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.8966027,7.5880801,Thomas Schlegel
Zum Sonnenhof,Zum Sonnenhof,,51588,Nümbrecht,"Zum Sonnenhof, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.9033978,7.5409481,Thomas Schlegel
Göpring,Göpring,,51588,Nümbrecht,"Göpring, 51588 Nümbrecht",WBZ 30,WBZ 30 - Nümbrecht 3,Dagmar Schmitz,#45B7D1,905,50.9033978,7.5409481,Thomas Schlegel
Ahornweg,Ahornweg,,51588,Nümbrecht,"Ahornweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9307522,7.5533574,Thomas Schlegel
Backhausweg,Backhausweg,,51588,Nümbrecht,"Backhausweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9310767,7.5561357,Thomas Schlegel
Bachstelzenweg,Bachstelzenweg,,51588,Nümbrecht,"Bachstelzenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9262708,7.5552685,Thomas Schlegel
Denkmalweg,Denkmalweg,,51588,Nümbrecht,"Denkmalweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9292726,7.5497417,Thomas Schlegel
Drosselweg,Drosselweg,,51588,Nümbrecht,"Drosselweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9276417,7.5530392,Thomas Schlegel
Eichenweg,Eichenweg,,51588,Nümbrecht,"Eichenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9346658,7.550061,Thomas Schlegel
Feuerwehrstraße,Feuerwehrstraße,,51588,Nümbrecht,"Feuerwehrstraße, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9295388,7.5552516,Thomas Schlegel
Freibadstraße,Freibadstraße,,51588,Nümbrecht,"Freibadstraße, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9314382,7.5586862,Thomas Schlegel
Jürgesweg,Jürgesweg,,51588,Nümbrecht,"Jürgesweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9338417,7.5531785,Thomas Schlegel
Kalksteinstraße,Kalksteinstraße,,51588,Nümbrecht,"Kalksteinstraße, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9272876,7.5596645,Thomas Schlegel
Kiefernweg,Kiefernweg,,51588,Nümbrecht,"Kiefernweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9312354,7.5652782,Thomas Schlegel
Kirschbaumweg,Kirschbaumweg,,51588,Nümbrecht,"Kirschbaumweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9311354,7.5549689,Thomas Schlegel
Lindenweg,Lindenweg,,51588,Nümbrecht,"Lindenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9318558,7.556641,Thomas Schlegel
Meisenweg,Meisenweg,,51588,Nümbrecht,"Meisenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9268715,7.5521083,Thomas Schlegel
Mühlenbergweg,Mühlenbergweg,,51588,Nümbrecht,"Mühlenbergweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9039214,7.585114,Thomas Schlegel
Mühlenweg,Mühlenweg,,51588,Nümbrecht,"Mühlenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9241987,7.5501742,Thomas Schlegel
Seinscheweg,Seinscheweg,,51588,Nümbrecht,"Seinscheweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9332235,7.5523718,Thomas Schlegel
Starenweg,Starenweg,,51588,Nümbrecht,"Starenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9263286,7.5505137,Thomas Schlegel
Stollenweg,Stollenweg,,51588,Nümbrecht,"Stollenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9345166,7.5544018,Thomas Schlegel
Talstraße,Talstraße,,51588,Nümbrecht,"Talstraße, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9242424,7.5540626,Thomas Schlegel
Taubenweg,Taubenweg,,51588,Nümbrecht,"Taubenweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9271295,7.5511704,Thomas Schlegel
Weißdornweg,Weißdornweg,,51588,Nümbrecht,"Weißdornweg, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9290406,7.5614316,Thomas Schlegel
Gering,Gering,,51588,Nümbrecht,"Gering, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9033978,7.5409481,Thomas Schlegel
Hochstraße,Hochstraße,,51588,Nümbrecht,"Hochstraße, 51588 Nümbrecht",WBZ 40,WBZ 40 - Nümbrecht 4,Jörg Menne,#FFA07A,830,50.9033978,7.5409481,Thomas Schlegel
Am Dorfplatz,Am Dorfplatz,,51588,Nümbrecht,"Am Dorfplatz, 51588 Nümbrecht",WBZ 50,WBZ 50 - Homburg-Bröl,Markus Lang,#98D8C8,880,50.9032372,7.5416675,Thomas Schlegel
