Kreistagkandidat,Kreis-WBZ,Anzahl Bezirke,Wahlbezirke,Gesamt Wahlberechtigte,Straßen auf Karte,Kandidaten mit Straßen,Kandidaten ohne Straßen
Marcus Schmitz,1,8,"WBZ 10, WBZ 20, WBZ 60, WBZ 70, WBZ 80, WBZ 90, WBZ 100, WBZ 110",7160,104,"Gisa Hauschildt, Jörg Reintsema, Ulrike Herrgesell, Thomas Hellbusch, Philipp Beck, Manfred Henry Daub, Christopher Seinsche, Björn Dittich",Keine
Thomas Schlegel,2,8,"WBZ 30, WBZ 40, WBZ 50, WBZ 120, WBZ 130, WBZ 140, WBZ 150, WBZ 160",7198,116,"Dagmar Schmitz, Jörg Menne, Markus Lang, Titzian Crisci, Stephan Rühl, Roger Adolphs, Frank Schmitz, Thomas Schlegel",Keine
