kreistagkandidat,kreis_wbz,anzahl_bezirke,wahlbezirke,kandidaten,gesamt_wahlberechtigte,anzahl_strassen_auf_karte,farbe
Marcus Schmitz,1,8,"WBZ 10, WBZ 20, WBZ 60, WBZ 70, WBZ 80, WBZ 90, WBZ 100, WBZ 110","Gisa Hauschildt, Jörg Reintsema, Ulrike Herrgesell, Thomas Hellbusch, Philipp Beck, Manfred Henry Daub, Christopher Seinsche, Björn Dittich",4655,89,#1976D2
Thomas Schlegel,2,8,"WBZ 30, WBZ 40, WBZ 50, WBZ 120, WBZ 130, WBZ 140, WBZ 150, WBZ 160","Dagmar Schmitz, Jörg Menne, Markus Lang, Titzian Crisci, Stephan Rühl, Roger Adolphs, Frank Schmitz, Thomas Schlegel",2615,40,#D32F2F
